,Unnamed: 0,client_id,gender,birth_date,create_date,nonresident_flag,city,contract_sum,product_category_name,card_id,card_type_name,start_date,fact_close_date,purchase_sum,purchase_count,current_balance_avg_sum,current_balance_sum,current_debit_turn_sum,current_credit_turn_sum,card_type
0,0,fe60b594364f9f636266ed1ef4f89c32,Ж,1985,2020-01-29,R,Гусь-Хрустальный,0,Договор на текущий счет для дебетовой карты,a83cbc33f164deae41b3339141923cc7,Visa Platinum Rewards,2019,2021,16600,71,39700,25700,220600,201000,dc
1,237315,3012cabca5885ed53d348d6e57dab5de,М,1951,2009-09-24,R,Ишимбай,0,Договор на текущий счет для дебетовой карты,8dae17a830bb05d151034df618efbcad,VISA Classic,2019,-1,4900,2,38000,26800,56300,31300,dc
2,2,d871ef96820b6c7a1ada8e01a772724e,Ж,1982,2006-12-25,R,Юрга,0,Договор на текущий счет для дебетовой карты,429ca8c43cdc5f3d8c9efc9069ee3fa6,,-1,-1,0,0,0,0,0,0,dc
3,131863,0bacbc2abd314f9fac031d249e485a7b,М,1955,2011-04-15,R,Томск,0,Договор на текущий счет для дебетовой карты,e7f4adb9187b867ebea15503298437a3,Visa Rewards,2021,-1,47800,12,0,0,51500,51500,cc
4,131864,0bacbc2abd314f9fac031d249e485a7b,М,1955,2011-04-15,R,Томск,0,Договор на текущий счет для дебетовой карты,e7d13882154e965dca7070eb8d626f77,Eurocard/MasterCard World,2018,2022,47800,12,0,0,51500,51500,cc
5,5,c79f7d18334216f7bd6c40a05e4a0335,Ж,1980,2015-06-19,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,e3baaf11e34b13c3cbb93fd6e2f6096e,МИР Debit,2019,-1,0,0,12700,1000,15000,7800,dc
6,211126,069a78f2b5f78554eaa5dbb61d84fc24,Ж,1960,2018-08-17,R,Нижний Новгород,0,Договор на текущий счет для дебетовой карты,0982e465375863e92e1ac4ec3c0f6c1b,VISA Classic Light,2018,2022,100,2,2700,4100,11100,10100,dc
7,211127,069a78f2b5f78554eaa5dbb61d84fc24,Ж,1960,2018-08-17,R,Нижний Новгород,0,Договор на текущий счет для дебетовой карты,179c20dc702f8b3553b10e1b083cc8b9,VISA Classic Light,2021,-1,100,2,2700,4100,11100,10100,dc
8,8,192b644dd9fc46129e60c2f2f73b851c,Ж,1961,2010-06-04,R,Калтан,0,Договор на текущий счет для дебетовой карты,64c45e9c29fa78a6245ecd2a045c015e,МИР Debit,2018,2019,0,0,0,0,0,0,dc
9,29470,f15f2554a0ce062adfb77b89583f312f,М,1989,2010-12-16,R,Туапсе,0,Договор на текущий счет для дебетовой карты,ca3b0bab14de9b04132ecb84c2b01f6c,Eurocard/MasterCard Mass,2019,-1,9100,23,32700,50200,110400,151900,dc
10,29471,f15f2554a0ce062adfb77b89583f312f,М,1989,2010-12-16,R,Туапсе,0,Договор на текущий счет для дебетовой карты,bae6632af4c6d36013a6a6a594a261d6,Eurocard/MasterCard Mass,2021,-1,9100,23,32700,50200,110400,151900,dc
11,29472,f15f2554a0ce062adfb77b89583f312f,М,1989,2010-12-16,R,Туапсе,0,Договор на текущий счет для дебетовой карты,9683b7cbd1298e401c213902eee94913,Eurocard/MasterCard Mass,2018,2019,9100,23,32700,50200,110400,151900,dc
12,42142,e21406a57c304316507e3a64557d5868,Ж,1982,2018-04-04,R,Туапсе,25000,Кредитная карта,4275e8186234e9990cb32e5e87501f71,,-1,-1,29000,8,0,0,57800,57800,dc
13,55846,605c9ffb0ee9d43513b39da91b237c39,М,1958,2014-12-09,R,Санкт-Петербург,300000,Кредитная карта,e459ed5d109379b79145687c3d69ec78,,-1,-1,22200,1,0,0,183500,161300,dc
14,25698,b01284663ccbf10630cd43686817b94c,Ж,1963,2018-04-26,R,Туймазы,0,Договор на текущий счет для дебетовой карты,f4868e159e41e3175a976edfecdb932c,VISA Classic,2020,-1,400,2,2100,0,18300,18300,dc
15,16,47a1ae7b4e5ce46e69497b59dc87f45e,Ж,1969,2018-02-05,R,Прокопьевск,0,Договор на текущий счет для дебетовой карты,1e61472d87e87e4c7a64d9c14351a5c7,,-1,-1,0,0,0,0,0,0,dc
16,10472,a548b6abe25890a6e33f2c6673ea7306,Ж,1962,2006-05-17,R,Анапа,370000,Кредитная карта,97c804fb8fa568b8d44061529d295eab,,-1,-1,300,1,0,0,68300,68300,dc
17,235936,c0558c09e6d8967a4f7da4e631af0931,Ж,1992,2018-02-09,R,Уфа,0,Договор на текущий счет для дебетовой карты,29aef8d895f0ba76f3493b58996acd89,МИР Debit,2021,-1,1100,1,400,0,2900,2900,dc
18,235937,c0558c09e6d8967a4f7da4e631af0931,Ж,1992,2018-02-09,R,Уфа,0,Договор на текущий счет для дебетовой карты,23120b2ce629efc4409ec06253245e55,МИР СКБ ЗП,2018,2021,1100,1,400,0,2900,2900,dc
19,22,a1cdd10388f052c85b597431a39ef17e,Ж,1998,2019-06-21,R,Тюмень,0,Договор на текущий счет для дебетовой карты,c8059e79bd19a5b13c4fa114bf679137,МИР Debit,2020,2021,0,0,0,0,0,0,dc
20,152750,4ab9e2e5031d68367309f7dea489c8b5,Ж,1988,2014-08-11,R,Санкт-Петербург,47900,Кредитная карта,71e11b072306c58ab0210a9984754338,,-1,-1,193900,28,200,0,379500,185100,dc
21,24,1d056e357297499510413c369ac188d4,М,1972,2005-07-28,R,Кропоткин,150000,Кредитная карта,9ee6bffe39cff3d03c79b7b9c65eacac,,-1,-1,0,0,0,0,0,0,dc
22,263275,31937105670a04a2d5260d4ee088468c,Ж,1990,2017-08-14,R,Санкт-Петербург,300,Договор на текущий счет для дебетовой карты,063a6eb9595adb5c0273b00d14be2862,VISA Classic Light,2017,2021,0,0,0,0,121900,121900,dc
23,263276,31937105670a04a2d5260d4ee088468c,Ж,1990,2017-08-14,R,Санкт-Петербург,300,Договор на текущий счет для дебетовой карты,fa25dd4de63b7c4c4ab2ab85c1a59108,Eurocard/MasterCard Gold,2020,-1,0,0,0,0,121900,121900,dc
24,209966,b6bdc6ad9870be654af83757cc1e1823,Ж,1993,2011-09-13,R,Уфа,0,Договор на текущий счет для дебетовой карты,36d2401aee9a26300691fefba9b31ff7,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,0,0,2600,40000,66600,106600,dc
25,209967,b6bdc6ad9870be654af83757cc1e1823,Ж,1993,2011-09-13,R,Уфа,0,Договор на текущий счет для дебетовой карты,4e07bae99478257a2f90728d747dfcbd,"Дебет карта ПС МИР ""Бюджетная""",2018,-1,0,0,2600,40000,66600,106600,dc
26,34,f87808e3cb497d680148bc126e8e95d1,Ж,1999,2016-09-07,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,29c8e1d508952b445a8cc19fb7392a11,МИР СКБ,2018,2021,0,0,0,0,0,0,dc
27,206149,380e5efd1d48a52f5ae4ad64e8542e9b,М,1984,2016-03-24,R,Сергиев Посад,0,Договор на текущий счет для дебетовой карты,f17318154d3b0ba1dd502ddd8fb022db,VISA Classic Light,2020,-1,6100,3,0,0,6500,6400,dc
